event_name,organizer,start_time,end_time,venue,full_address,city,registration_url,registration_status,registration_type,ticket_types,capacity,attendees_shown,event_format,description,extras,tags,image_url,source_domain,notes
HackSecret ETH Denver Hackerhouse,Secret Network and Autonomys,,,Register to see address,,,https://lu.ma/1b214uv5?tk=Qglhok,,,,,,,,,,,lu.ma,One registration link with option to choose ticket type
EduDAO Hacker House @ Denver,"EduDAO, Pool and Game7 DAO",,,Register to see address,,,https://lu.ma/dplhrura,,,,,,,,,,,lu.ma,
Build Dapps in Denver with Web3 Alliance (Hackathon),Umar,,,Register to see address,,,https://lu.ma/6oy6evp,,,,,,,,,,,lu.ma,
Async House,=nil; Foundation,,,Register to see address,,,https://lu.ma/AsyncHouse,,,,,,,,,,,lu.ma,
Async House @ ETHDenver 2025,=nil; Foundation,,,Denver,,,https://lu.ma/AsyncHackerHouse,,,,,,,,,,,lu.ma,
Lost Tribes: The Blockspace Mansion w/ Polkadot,WebZero and Polkadot,,,2345 7th St,,,https://lu.ma/losttribeshackerhouse,,,,,,,,,,,lu.ma,
AuraVerse DeSci Hub,AuraSci,,,3141 Walnut St,,,https://lu.ma/AuraverseDeSciHub,,,,,,,,,,,lu.ma,
On-Chain Gaming Hacker House,"Zach Prater, Aavegotchi, Cartesi and Sunrise",,,Register to see address,,,https://lu.ma/e1xx6bqe,,,,,,,,,,,lu.ma,
Flow @ ETH Denver,Flow,,,1572 N Race St,,"Denver, CO",https://lu.ma/ic9pxa7z,past_event,wallet_verification,,,671.0,,"Week-long 'Flow Castle' hub with co-working, workshops, and panels.","{""coworking"",""workshops""}","{""flow"",""builders"",""talks""}",,lu.ma,
Superchain Space: Denver,Superchain.Eco,,,Register to see address,,"Denver, CO",https://lu.ma/superchaindenver,past_event,waitlist_wallet_verification,,,524.0,,Collaboration hub for builders; schedule hosted on superchain.eco.,"{""schedule_link""}","{""superchain"",""builders"",""talks""}",,lu.ma,
Symbiotic Builders Café: Denver,Symbiotic,,,Register to see address,,,https://lu.ma/evynyxqy,,,,,,,,,,,lu.ma,
1kx Builders Hub | EthDenver Edition,1kx,,,Register to see address,,,https://lu.ma/stratvd6,,,,,,,,,,,lu.ma,
The Road to 11 Trillion Agents,Near,,,Register to see address,,,https://lu.ma/g6qungq,,,,,,,,,,,lu.ma,
Corn Hub at ETHDenver,Corn,,,Riot House Denver,,,https://lu.ma/cornhubforall,,,,,,,,,,,lu.ma,
Onchain Food Truck | DIMO × Base × Blackbird,DIMO and Base,,,Green Spaces Co-working Market,,,https://lu.ma/0hp21jl4,,,,,,,,,,,lu.ma,
DAO* Builder Hub,Metagov and DAOstar,,,Register to see address,,,https://lu.ma/2f1asucy,,,,,,,,,,,lu.ma,
Aggregation Cave (whiteboarding & coworking powered by Polygon Labs),AggLayer,,,Venture X Denver Lodo,,,https://lu.ma/yahyunvtd,,,,,,,,,,,lu.ma,
BUILD BATTLE | EthDenver Kickoff,Stacks Foundation,,,The Maven Hotel at Dairy Block,,,https://lu.ma/z1h13dda,,,,,,,,,,,lu.ma,
NFC Quest: ETH Denver $5K Crypto Treasure Hunt,Sherry,,,National Western Complex,,,https://lu.ma/fzgqk30u,,,,,,,,,,,lu.ma,
GYMagna – Morning Workout & Crossfit | Day 1-3,Magna,,,Register to see address,,,https://lu.ma/ffifm5y5 / https://lu.ma/9aosbhq,,,,,,,,,,,lu.ma,
TAC Hacker House: The Ultimate Builder Hub @ ETHDenver,TAC,,,Catbird Hotel,"3770 Walnut St, Denver, CO 80205, USA","Denver, CO",https://lu.ma/TAC_Denver,past_event,ticketed_wallet_verification,,,643.0,,Builder hub with workshops & networking; TON + Telegram focus.,"{""workshops"",""snacks"",""networking""}","{""ton"",""telegram"",""builders""}",,lu.ma,
"Upgrade the Internet: Succinct, Celestia, and Conduit","Succinct, Celestia and Conduit",,,Register to see address,,,https://lu.ma/igtuw7f,,,,,,,,,,,lu.ma,
Poker Networking Lounge + EthDenver,Tezza Poker and Pool,,,National Western Complex,,,https://lu.ma/9iwm017g,,,,,,,,,,,lu.ma,
Bitcoin Block Fest,Bitcoin x AI Startup Lab,,,River North Art District,,,https://lu.ma/gfl98k5e,,,,,,,,,,,lu.ma,
Avail’s Unification House @ ETHDenver 2025,Avail,,,Register to see address,,,https://lu.ma/xvs9qc3y,,,,,,,,,,,lu.ma,
Rain Cafe featuring Avalanche,Rain and Avalanche,,,Register to see address,,,https://lu.ma/9rhahrvt,,,,,,,,,,,lu.ma,
Bitcoin Renaissance – 2025 Hosted by Babylon,Babylon Labs,,,Summit,"1902 Blake St, Denver, CO 80202, USA","Denver, CO",https://lu.ma/9abbcosp,closed,closed,,,1021.0,,Two-day thought-leadership summit on Bitcoin ecosystem with keynotes and panels.,"{""agenda_link""}","{""bitcoin"",""summit"",""panels""}",,lu.ma,
"DAY ACCESS: Where The Future of Web3, AI & Capital Markets Converge",DNA,,,Venice,,,https://lu.ma/z8b9db6p,,,,,,,,,,,lu.ma,
ApeDEN: Den Pass,ApeChain,,,The Maven Hotel at Dairy Block,"1850 Wazee St, Denver, CO 80202, USA","Denver, CO",https://lu.ma/h0i9ic5w,approval_required,wallet_verification,,,241.0,,"Two-day builder program with talks (Ape Foundation, Yuga Labs), office hours, and networking.","{""agenda"",""office_hours""}","{""apechain"",""builders"",""talks""}",,lu.ma,
ZK Hub – Day 1 & Day 2,House of ZK (at ETHDenver),,,National Western Stock Show,"4655 N Humboldt St, Denver, CO 80216, USA","Denver, CO",https://lu.ma/zk-hub_ethdenver,past_event,wallet_verification,,,186.0,,"Two-day ZK gathering with talks, workshops, panels, debates; livestream; sponsors & merch.","{""livestream"",""podcast_studio"",""sponsor_booths"",""magazine""}","{""zk"",""ethereum"",""builders"",""talks""}",,lu.ma,
Chainlink House,Powered by Soneium & Ink,,,Register to see address,,,https://lu.ma/ChainlinkHouseDenver,,,,,,,,,,,lu.ma,
Elastic House: Feb 28 – Mar 1,"Abstract, Pudgy Penguins, Sophons, Xsolla, Z",,,Green Spaces,,,https://lu.ma/elasticethdenver?tk=S,,,,,,,,,,,lu.ma,
DCENTRAL × New Friendship Tech [EthDenver],DCENTRAL and New Friendship Tech,,,Register to see address,,,https://lu.ma/newfriendshiptech2024,,,,,,,,,,,lu.ma,
Supermoon Camp Breck 2025,Supermoon,,,Breckenridge,,,https://lu.ma/wx29089b,,,,,,,,,,,lu.ma,
